nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;84;0.5100000000;0.0100000000;3.3600000000;-0.0041701660;0.5544861742;2.0074033096;0.0100282313;-0.1696320865;0.2724259555;815996.2249613572;2079.8989854975;1137117112.7128590094;
75;50;85;0.5100000000;0.0100000000;3.4000000000;-0.0044618652;0.5544450647;2.0064502042;0.0097358231;-0.1696370409;0.2722884223;779457.7956516216;2177.3977579780;1137117069.9825262371;
75;50;86;0.5100000000;0.0100000000;3.4400000000;-0.0047379697;0.5544058665;2.0055373606;0.0094590424;-0.1696417524;0.2721581272;744925.6558488140;2278.3341967464;1137117029.1552340941;
75;50;87;0.5100000000;0.0100000000;3.4800000000;-0.0049994577;0.5543683603;2.0046627079;0.0091969069;-0.1696462346;0.2720303769;712275.4073215172;2382.7714954877;1137116990.1267358437;
75;50;88;0.5100000000;0.0100000000;3.5200000000;-0.0052472400;0.5543324907;2.0038242995;0.0089485050;-0.1696505001;0.2719116547;681386.0837398591;2490.7897626484;1137116952.7995401426;
75;50;89;0.5100000000;0.0100000000;3.5600000000;-0.0054821628;0.5542982318;2.0030203050;0.0087129900;-0.1696545610;0.2717949497;652145.2663439333;2602.4714370710;1137116917.0823676056;
75;50;90;0.5100000000;0.0100000000;3.6000000000;-0.0057050092;0.5542653741;2.0022490020;0.0084895751;-0.1696584285;0.2716847661;624449.0415397069;2717.8989229652;1137116882.8897783294;
75;50;91;0.5100000000;0.0100000000;3.6400000000;-0.0059165119;0.5542339428;2.0015087691;0.0082775284;-0.1696621131;0.2715755568;598197.8233002882;2837.1706857877;1137116850.1416323927;
75;50;92;0.5100000000;0.0100000000;3.6800000000;-0.0061173518;0.5542039107;2.0007980791;0.0080761685;-0.1696656247;0.2714755714;573308.3433610084;2960.3428964357;1137116818.7631652934;
75;50;93;0.5100000000;0.0100000000;3.7200000000;-0.0063081591;0.5541750570;2.0001154926;0.0078848610;-0.1696689726;0.2713781221;549697.6754689744;3087.4957500822;1137116788.6831637254;
75;50;94;0.5100000000;0.0100000000;3.7600000000;-0.0064895259;0.5541474026;1.9994596526;0.0077030147;-0.1696721656;0.2712844642;527281.8600219771;3218.7513405334;1137116759.8357528122;
75;50;95;0.5100000000;0.0100000000;3.8000000000;-0.0066620020;0.5541208646;1.9988292786;0.0075300780;-0.1696752120;0.2711924747;505992.4187747446;3354.1790143525;1137116732.1587195490;
75;50;96;0.5100000000;0.0100000000;3.8400000000;-0.0068261022;0.5540954440;1.9982231623;0.0073655363;-0.1696781194;0.2711068458;485762.2883509308;3493.8675840560;1137116705.5935299369;
75;50;97;0.5100000000;0.0100000000;3.8800000000;-0.0069823053;0.5540710318;1.9976401625;0.0072089090;-0.1696808953;0.2710221965;466529.2162147053;3637.9052281538;1137116680.0851601800;
75;50;98;0.5100000000;0.0100000000;3.9200000000;-0.0071310596;0.5540475996;1.9970792010;0.0070597472;-0.1696835465;0.2709396553;448234.9289064799;3786.3828290272;1137116655.5817497735;
