nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;89;0.51;0.0100001;3.56;-0.00548502;0.554298;2.00305;0.00872191;-0.170252;0.2718;-1.41119e+06;-1202.66;1.13712e+09;
75;50;90;0.51;0.0100001;3.6;-0.00569618;0.554265;2.00227;0.00851012;-0.170252;0.271687;2.53511e+06;669.474;1.13712e+09;
75;50;91;0.51;0.0100001;3.64;-0.00591823;0.554234;2.00153;0.00830568;-0.171182;0.271578;5.20376e+06;326.147;1.13712e+09;
75;50;92;0.51;0.0100001;3.68;-0.00612829;0.554204;2.00086;0.00807395;-0.170107;0.271482;-2.8452e+06;-596.5;1.13712e+09;
75;50;93;0.51;0.0100001;3.72;-0.0063111;0.554175;2.00009;0.00789467;-0.170316;0.271374;-3.48696e+06;-486.725;1.13712e+09;
75;50;94;0.51;0.0100001;3.76;-0.00649505;0.554147;1.9995;0.00769452;-0.169517;0.27129;635278;2671.57;1.13712e+09;
75;50;95;0.51;0.0100001;3.8;-0.00666698;0.554121;1.99883;0.00752526;-0.16968;0.271192;4.33545e+06;391.467;1.13712e+09;
75;50;96;0.51;0.0100001;3.84;-0.00683519;0.554095;1.99821;0.00733386;-0.168523;0.271104;-1.77476e+06;-956.294;1.13712e+09;
75;50;97;0.51;0.0100001;3.88;-0.00696876;0.554072;1.99767;0.00718358;-0.167694;0.271025;-4.23231e+06;-401.007;1.13712e+09;
75;50;98;0.51;0.0100001;3.92;-0.00710534;0.554048;1.9971;0.00710091;-0.170467;0.270941;2.6431e+06;642.088;1.13712e+09;
